1,9
2,8
3,7
4,6
5,5
6,4
7,3
8,2
9,1
10,1
11,1
12,7
13,7
14,10
15,0
16,9
17,4
18,8
19,3
20,10
21,8
22,9
23,5
24,0
25,8
26,5
27,7
28,1
29,3
30,5
31,1
32,4
33,8
34,0
35,7
36,7
37,1
38,8
39,2
40,10
41,10
42,10
43,5
44,5
45,8
46,4
47,0
48,4
49,4
50,0
51,6
52,0
53,5
54,0
55,6
56,3
57,8
58,9
59,10
60,10
61,3
62,1
63,0
64,9
65,0
66,10
67,3
68,8
69,10
70,3
71,6
72,10
73,3
74,9
75,6
76,9
77,2
78,3
79,2
80,10
81,5
82,5
83,10
84,0
85,8
86,4
87,7
88,9
89,8
90,2
91,2
92,9
93,8
94,10
95,0
96,3
97,5
98,4
99,5
100,6
101,10
102,4
103,8
104,10
105,6
106,1
107,1
108,9
109,8
110,9
111,8
112,0
113,9
114,1
115,10
116,0
117,9
118,3
119,1
120,0
121,5
122,9
123,8
124,0
125,3
126,5
127,1
128,1
129,7
130,3
131,5
132,1
133,7
134,10
135,10
136,5
137,4
138,9
139,9
140,6
141,10
142,4
143,8
144,8
145,7
146,0
147,8
148,8
149,7
150,3
151,2
152,4
153,6
154,7
155,2
156,2
157,3
158,1
159,3
160,8
161,9
162,0
163,4
164,4
165,2
166,1
167,10
168,2
169,1
170,8
171,3
172,4
173,5
174,2
175,4
176,6
177,8
178,8
179,4
180,7
181,1
182,10
183,2
184,2
185,1
186,5
187,1
188,9
189,7
190,1
191,1
192,4
193,0
194,0
195,8
196,7
197,2
198,4
199,9
200,1
201,1
202,3
203,1
204,4
205,3
206,10
207,10
208,5
209,2
210,2
211,5
212,4
213,3
214,0
215,6
216,9
217,7
218,1
219,3
220,7
221,2
222,6
223,1
224,9
225,0
226,0
227,5
228,9
229,5
230,7
231,7
232,4
233,1
234,7
235,7
236,1
237,9
238,3
239,4
240,9
241,3
242,4
243,10
244,6
245,7
246,1
247,2
248,1
249,4
250,8
251,10
252,7
253,2
254,3
255,9
256,5
257,2
258,8
259,10
260,10
261,6
262,0
263,9
264,10
265,5
266,4
267,2
268,9
269,9
270,1
271,2
272,6
273,5
274,10
275,4
276,3
277,7
278,5
279,2
280,10
281,0
282,0
283,9
284,10
285,4
286,6
287,10
288,3
289,2
290,6
291,8
292,1
293,3
294,8
295,7
296,4
297,3
298,0
299,1
300,8
301,2
302,8
303,4
304,0
305,3
306,6
307,7
308,9
309,4
310,8
311,0
312,3
313,2
314,2
315,0
316,7
317,9
318,6
319,1
320,9
321,5
322,5
323,9
324,9
325,2
326,1
327,1
328,0
329,3
330,5
331,0
332,6
333,3
334,10
335,2
336,9
337,1
338,4
339,4
340,3
341,4
342,6
343,4
344,2
345,4
346,8
347,6
348,7
349,10
350,10
351,6
352,9
353,5
354,8
355,9
356,7
357,4
358,9
359,7
360,6
361,9
362,6
363,8
364,7
365,5
366,10
367,2
368,4
369,0
370,6
371,2
372,5
373,0
374,7
375,5
376,5
377,1
378,4
379,7
380,4
381,1
382,0
383,0
384,5
385,5
386,8
387,5
388,6
389,4
390,7
391,10
392,4
393,0
394,5
395,1
396,8
397,9
398,6
399,2
400,4
401,9
402,9
403,8
404,5
405,8
406,8
407,2
408,3
409,10
410,8
411,0
412,8
413,3
414,1
415,2
416,3
417,2
418,2
419,5
420,8
421,8
422,4
423,5
424,2
425,9
426,9
427,6
428,5
429,9
430,10
431,7
432,8
433,0
434,1
435,0
436,7
437,7
438,2
439,3
440,0
441,8
442,9
443,4
444,0
445,6
446,0
447,6
448,9
449,9
450,3
451,6
452,4
453,2
454,9
455,10
456,5
457,6
458,7
459,0
460,6
461,4
462,5
463,3
464,5
465,10
466,0
467,9
468,0
469,8
470,6
471,2
472,2
473,8
474,9
475,5
476,2
477,8
478,3
479,4
480,3
481,0
482,5
483,10
484,0
485,0
486,5
487,0
488,10
489,0
490,6
491,3
492,2
493,7
494,1
495,7
496,1
497,2
498,4
499,9
500,10
501,0
502,1
503,1
504,4
505,0
506,8
507,8
508,2
509,8
510,4
511,9
512,8
513,1
514,6
515,10
516,0
517,9
518,3
519,9
520,8
521,9
522,10
523,0
524,7
525,3
526,2
527,3
528,3
529,4
530,6
531,1
532,5
533,4
534,9
535,6
536,9
537,5
538,3
539,10
540,9
541,6
542,0
543,3
544,9
545,5
546,2
547,2
548,0
549,3
550,9
551,5
552,10
553,1
554,3
555,1
556,7
557,8
558,8
559,8
560,8
561,10
562,9
563,3
564,7
565,8
566,6
567,5
568,2
569,10
570,8
571,1
572,8
573,2
574,3
575,10
576,7
577,3
578,9
579,7
580,10
581,3
582,10
583,0
584,2
585,2
586,4
587,3
588,10
589,3
590,9
591,0
592,1
593,7
594,10
595,1
596,1
597,1
598,4
599,1
600,6
601,5
602,0
603,6
604,3
605,5
606,10
607,5
608,10
609,1
610,7
611,5
612,10
613,0
614,8
615,8
616,0
617,0
618,3
619,10
620,5
621,6
622,10
623,3
624,9
625,2
626,3
627,8
628,3
629,0
630,6
631,7
632,0
633,3
634,3
635,4
636,6
637,10
638,10
639,0
640,10
641,2
642,2
643,2
644,7
645,10
646,8
647,6
648,3
649,4
650,8
651,2
652,8
653,4
654,6
655,5
656,3
657,1
658,5
659,1
660,10
661,10
662,8
663,3
664,2
665,4
666,10
667,9
668,9
669,7
670,5
671,5
672,3
673,1
674,6
675,3
676,7
677,0
678,7
679,8
680,0
681,7
682,0
683,3
684,5
685,3
686,4
687,4
688,3
689,0
690,3
691,2
692,7
693,10
694,5
695,9
696,6
697,1
698,5
